미세먼지농도
[검색조건]
지점명 : , 자료구분:일자료 , 기간 : 20160101 ~ 20181231

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
229,북격렬비도 *,2016-01-12,22
232,천안,2016-01-12,46
268,진도군,2016-01-12,17
273,문경,2016-01-12,27
501,연평도,2016-01-12,24
90,속초,2016-01-13,20
94,광덕산,2016-01-13,24
100,대관령,2016-01-13,24
101,춘천,2016-01-13,36
102,백령도,2016-01-13,23
108,서울,2016-01-13,35
115,울릉도독도(감),2016-01-13,14
116,관악산,2016-01-13,26
119,수원,2016-01-13,32
121,영월,2016-01-13,24
130,울진,2016-01-13,22
132,안면도(감),2016-01-13,22
135,추풍령,2016-01-13,20
136,안동,2016-01-13,27
140,군산,2016-01-13,22
143,대구,2016-01-13,25
146,전주,2016-01-13,20
152,울산,2016-01-13,21
156,광주,2016-01-13,27
160,부산(레),2016-01-13,21
169,흑산도,2016-01-13,34
185,고산,2016-01-13,28
192,진주,2016-01-13,23
201,강화,2016-01-13,36
229,북격렬비도 *,2016-01-13,29
232,천안,2016-01-13,28
268,진도군,2016-01-13,27
273,문경,2016-01-13,22
501,연평도,2016-01-13,26
90,속초,2016-01-14,22
94,광덕산,2016-01-14,28
100,대관령,2016-01-14,20
101,춘천,2016-01-14,36
102,백령도,2016-01-14,21
108,서울,2016-01-14,42
115,울릉도독도(감),2016-01-14,14
116,관악산,2016-01-14,35
119,수원,2016-01-14,37
121,영월,2016-01-14,23
130,울진,2016-01-14,18
132,안면도(감),2016-01-14,29
135,추풍령,2016-01-14,27
136,안동,2016-01-14,28
140,군산,2016-01-14,28
143,대구,2016-01-14,30
146,전주,2016-01-14,20
152,울산,2016-01-14,22
156,광주,2016-01-14,29
160,부산(레),2016-01-14,24
169,흑산도,2016-01-14,56
185,고산,2016-01-14,45
192,진주,2016-01-14,30
201,강화,2016-01-14,40
229,북격렬비도 *,2016-01-14,32
232,천안,2016-01-14,36
268,진도군,2016-01-14,48
273,문경,2016-01-14,24
501,연평도,2016-01-14,27
90,속초,2016-01-15,23
94,광덕산,2016-01-15,25
100,대관령,2016-01-15,22
101,춘천,2016-01-15,48
102,백령도,2016-01-15,24
108,서울,2016-01-15,42
115,울릉도독도(감),2016-01-15,15
116,관악산,2016-01-15,39
119,수원,2016-01-15,44
121,영월,2016-01-15,44
130,울진,2016-01-15,33
132,안면도(감),2016-01-15,46
135,추풍령,2016-01-15,53
136,안동,2016-01-15,53
140,군산,2016-01-15,55
143,대구,2016-01-15,63
146,전주,2016-01-15,38
152,울산,2016-01-15,42
156,광주,2016-01-15,55
160,부산(레),2016-01-15,49
169,흑산도,2016-01-15,58
185,고산,2016-01-15,41
192,진주,2016-01-15,44
201,강화,2016-01-15,49
229,북격렬비도 *,2016-01-15,60
232,천안,2016-01-15,54
