"","social_date.date","social_date.blog","social_date.twitter","social_date.news","social_date.total"
"531","2017-06-14",1363,2399,157,3919
"532","2017-06-15",1190,2211,70,3471
"533","2017-06-16",1285,2221,71,3577
"534","2017-06-17",1024,1740,45,2809
"535","2017-06-18",1185,2072,23,3280
"536","2017-06-19",1544,1889,95,3528
"537","2017-06-20",1334,1837,72,3243
"538","2017-06-21",1259,1987,63,3309
"539","2017-06-22",1190,1794,59,3043
"540","2017-06-23",1217,2037,62,3316
"541","2017-06-24",1032,2331,16,3379
"542","2017-06-25",1179,2300,22,3501
"543","2017-06-26",1505,2070,71,3646
"544","2017-06-27",1319,1817,115,3251
"545","2017-06-28",1358,1909,60,3327
"546","2017-06-29",1215,1898,32,3145
"547","2017-06-30",1204,1871,80,3155
"548","2017-07-01",1063,1937,33,3033
"549","2017-07-02",1237,2022,34,3293
"550","2017-07-03",1418,2226,93,3737
"551","2017-07-04",1291,2079,72,3442
"552","2017-07-05",1318,2077,92,3487
"553","2017-07-06",1232,2117,67,3416
"554","2017-07-07",1157,1973,105,3235
"555","2017-07-08",921,1906,36,2863
"556","2017-07-09",1137,1929,24,3090
"557","2017-07-10",1391,2000,111,3502
"558","2017-07-11",1253,2122,67,3442
"559","2017-07-12",1191,1863,66,3120
"560","2017-07-13",1150,1710,154,3014
"561","2017-07-14",1159,1782,117,3058
"562","2017-07-15",1011,1880,66,2957
"563","2017-07-16",1062,2105,40,3207
"564","2017-07-17",1432,1901,86,3419
"565","2017-07-18",1200,1815,101,3116
"566","2017-07-19",1352,2471,128,3951
"567","2017-07-20",1321,2423,144,3888
"568","2017-07-21",1212,2408,127,3747
"569","2017-07-22",994,2337,52,3383
"570","2017-07-23",1139,2617,25,3781
"571","2017-07-24",1389,2426,41,3856
"572","2017-07-25",1224,2355,98,3677
"573","2017-07-26",1205,2092,67,3364
"574","2017-07-27",1282,2379,104,3765
"575","2017-07-28",1277,2281,98,3656
"576","2017-07-29",1041,2514,24,3579
"577","2017-07-30",1148,2628,42,3818
"578","2017-07-31",1530,2837,120,4487
"579","2017-08-01",1319,2370,130,3819
"580","2017-08-02",1310,2320,86,3716
"581","2017-08-03",1219,2300,129,3648
"582","2017-08-04",1205,2187,108,3500
"583","2017-08-05",984,2167,31,3182
"584","2017-08-06",1068,2201,19,3288
"585","2017-08-07",1416,2125,104,3645
"586","2017-08-08",1313,2012,93,3418
"587","2017-08-09",1234,1880,84,3198
"588","2017-08-10",1222,2141,71,3434
"589","2017-08-11",1195,2196,152,3543
"590","2017-08-12",951,1943,58,2952
"591","2017-08-13",1128,2118,47,3293
"592","2017-08-14",1367,2119,89,3575
"593","2017-08-15",1216,2220,34,3470
"594","2017-08-16",1503,2292,156,3951
"595","2017-08-17",1362,1887,100,3349
"596","2017-08-18",1286,1952,111,3349
"597","2017-08-19",1074,1908,46,3028
"598","2017-08-20",1236,2126,42,3404
"599","2017-08-21",1409,1988,83,3480
"600","2017-08-22",1248,2115,143,3506
"601","2017-08-23",1307,2057,90,3454
"602","2017-08-24",1317,1975,84,3376
"603","2017-08-25",1169,1743,83,2995
"604","2017-08-26",1006,1992,52,3050
"605","2017-08-27",1147,2157,29,3333
"606","2017-08-28",1499,2001,58,3558
"607","2017-08-29",1221,2079,105,3405
"608","2017-08-30",1139,2404,88,3631
"609","2017-08-31",1189,2035,49,3273
"610","2017-09-01",1118,1857,195,3170
"611","2017-09-02",816,2065,55,2936
"612","2017-09-03",1032,2115,49,3196
"613","2017-09-04",1490,1751,76,3317
"614","2017-09-05",1273,1611,84,2968
"615","2017-09-06",1246,1672,111,3029
"616","2017-09-07",1135,1650,32,2817
"617","2017-09-08",1118,1856,78,3052
"618","2017-09-09",1048,2192,36,3276
"619","2017-09-10",1205,2147,44,3396
"620","2017-09-11",1458,1981,77,3516
"621","2017-09-12",1228,1914,66,3208
"622","2017-09-13",1238,1785,56,3079
"623","2017-09-14",1183,1733,69,2985
